,,,,,,,,,,,,,,,,,,,,,,,,
CHGCC(A),CHGCC,vbat,ibat,vchgin,ichgin,efficiency,,CHGCC,vbat,ibat,vchgin,ichgin,efficiency,,,,,,CHGCC,vbat,ibat,vchgin,ichgin,efficiency
1.6,0x20,4.203386,1.61776,5,1.43,95.11%,,0x20,4.202902,1.631221,8.9999,0.817867,93.14%,,,,,,0x20,4.203391,1.626821,14.9999,0.505367,90.21%
1.65,0x21,4.20246,1.668472,5,1.4755,95.04%,,0x21,4.203331,1.68223,8.9999,0.843567,93.14%,,,,,,0x21,4.203069,1.678213,14.9999,0.521233,90.22%
1.7,0x22,4.202839,1.71961,5,1.5222,94.96%,,0x22,4.203067,1.734987,8.9999,0.869667,93.17%,,,,,,0x22,4.202739,1.730814,14.9999,0.536967,90.31%
1.75,0x23,4.203037,1.770483,4.999967,1.567533,94.95%,,0x23,4.202698,1.786641,8.9999,0.8959,93.13%,,,,,,0x23,4.20332,1.781642,14.9999,0.553,90.28%
1.8,0x24,4.202706,1.821471,4.999933,1.6158,94.75%,,0x24,4.202829,1.83703,8.9999,0.9218,93.06%,,,,,,0x24,4.202862,1.833856,14.9999,0.568567,90.37%
1.85,0x25,4.202833,1.87263,4.999967,1.661867,94.72%,,0x25,4.202826,1.889712,8.9999,0.947967,93.09%,,,,,,0x25,4.202697,1.88554,14.9999,0.5845,90.38%
1.9,0x26,4.203102,1.922685,4.999933,1.7077,94.65%,,0x26,4.202973,1.940922,8.9999,0.9737,93.09%,,,,,,0x26,4.203158,1.937106,14.9999,0.6004,90.41%
1.95,0x27,4.203456,1.973267,4.999967,1.755133,94.52%,,0x27,4.20264,1.99217,8.9999,0.999267,93.10%,,,,,,0x27,4.202904,1.98886,14.9999,0.616267,90.43%
2,0x28,4.202585,2.02385,4.999967,1.8016,94.42%,,0x28,4.203019,2.043719,8.9999,1.025867,93.04%,,,,,,0x28,4.202654,2.041981,14.9999,0.632533,90.45%
2.05,0x29,4.203006,2.074738,4.999933,1.848233,94.36%,,0x29,4.202698,2.095238,8.9999,1.052167,92.99%,,,,,,0x29,4.203281,2.093052,14.9999,0.648533,90.44%
2.1,0x2a,4.203031,2.125559,4.999967,1.8956,94.26%,,0x2a,4.203103,2.146903,8.9999,1.079133,92.91%,,,,,,0x2a,4.202778,2.144832,14.9999,0.6646,90.42%
2.15,0x2b,4.203632,2.177141,4.999933,1.9443,94.14%,,0x2b,4.203058,2.199185,8.9999,1.1062,92.84%,,,,,,0x2b,4.203628,2.196612,14.9999,0.6806,90.45%
2.2,0x2c,4.202826,2.227537,4.999933,1.9905,94.07%,,0x2c,4.202483,2.250798,8.9999,1.132033,92.84%,,,,,,0x2c,4.203103,2.248225,14.9999,0.6967,90.42%
2.25,0x2d,4.203283,2.278516,4.9999,2.038133,93.98%,,0x2d,4.203086,2.301846,8.9999,1.1581,92.82%,,,,,,0x2d,4.202834,2.301484,14.9999,0.713167,90.42%
2.3,0x2e,4.202397,2.329159,4.999933,2.085533,93.87%,,0x2e,4.203352,2.353393,8.9999,1.184333,92.81%,,,,,,0x2e,4.202849,2.35321,14.9999,0.729233,90.42%
2.35,0x2f,4.203438,2.378788,4.9999,2.132367,93.79%,,0x2f,4.203342,2.405806,8.9999,1.2121,92.70%,,,,,,0x2f,4.203129,2.404386,14.9999,0.745533,90.37%
2.4,0x30,4.202462,2.42959,4.999933,2.179133,93.71%,,0x30,4.202701,2.457216,8.9999,1.238467,92.65%,,,,,,0x30,4.203004,2.45635,14.9999,0.762167,90.31%
2.45,0x31,4.202804,2.480131,4.999933,2.227133,93.61%,,0x31,4.203558,2.509174,8.9999,1.265533,92.61%,,,,,,0x31,4.202269,2.507577,14.9999,0.778267,90.27%
2.5,0x32,4.203187,2.530555,4.9999,2.275133,93.50%,,0x32,4.202771,2.560238,8.9999,1.291967,92.54%,,,,,,0x32,4.20305,2.559312,14.9999,0.794267,90.29%
