,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHGCC,vbat,ibat,vchgin,ichgin,efficiency,,,,,,,CHGCC,vbat,ibat,vchgin,ichgin,efficiency,,,,,,CHGCC,vbat,ibat,vchgin,ichgin,efficiency
,0x1f,4.19799,1.539889,6.7999,1.038733,91.52%,,,,,,,0x1f,4.202276,1.525395,8.9999,0.763633,93.27%,,,,,,0x1f,4.202842,1.575554,14.9999,0.489267,90.23%
,0x20,4.224233,1.610036,6.799933,1.051267,95.14%,,,,,,,0x20,4.20222,1.632779,8.9999,0.8195,93.03%,,,,,,0x20,4.203209,1.628886,14.9999,0.506333,90.15%
,0x21,4.203461,1.681793,6.7999,1.1051,94.08%,,,,,,,0x21,4.199382,1.665997,8.9999,0.846233,91.86%,,,,,,0x21,4.20476,1.624149,14.9999,0.508033,89.62%
,0x22,4.20232,1.650455,6.7999,1.086633,93.87%,,,,,,,0x22,4.196705,1.737445,8.9999,0.8686,93.27%,,,,,,0x22,4.204542,1.733262,14.9999,0.5383,90.26%
,0x23,4.204547,1.785597,6.7999,1.175067,93.96%,,,,,,,0x23,4.203224,1.788429,8.9999,0.898133,93.00%,,,,,,0x23,4.203359,1.784736,14.9999,0.553967,90.28%
,0x24,4.202372,1.766733,6.7999,1.163833,93.82%,,,,,,,0x24,4.200647,1.795607,8.999933,0.896333,93.50%,,,,,,0x24,4.198749,1.837748,14.9999,0.570167,90.22%
,0x25,4.198794,1.870589,6.7999,1.2222,94.51%,,,,,,,0x25,4.202359,1.892448,8.9999,0.9499,93.03%,,,,,,0x25,4.202764,1.889237,14.9999,0.5861,90.32%
,0x26,4.201426,1.939232,6.799933,1.278667,93.71%,,,,,,,0x26,4.197683,1.878671,8.9999,0.940467,93.17%,,,,,,0x26,4.196494,1.904043,14.9999,0.5836,91.28%
,0x27,4.208785,1.921634,6.799933,1.272167,93.49%,,,,,,,0x27,4.202399,1.995078,8.9999,1.003067,92.87%,,,,,,0x27,4.204742,1.99218,14.9999,0.617867,90.38%
,0x28,4.203504,2.043678,6.7999,1.348933,93.66%,,,,,,,0x28,4.204619,2.011715,8.999933,1.011533,92.91%,,,,,,0x28,4.20374,2.044088,14.9999,0.6338,90.39%
,0x29,4.203519,2.021768,6.7999,1.334633,93.64%,,,,,,,0x29,4.203481,2.098605,8.9999,1.055567,92.86%,,,,,,0x29,4.206486,2.043975,14.99987,0.630867,90.86%
,0x2a,4.202398,2.146696,6.7999,1.418733,93.51%,,,,,,,0x2a,4.202703,2.151455,8.9999,1.082667,92.80%,,,,,,0x2a,4.201914,2.147875,14.9999,0.665533,90.41%
,0x2b,4.204582,2.135943,6.7999,1.422567,92.84%,,,,,,,0x2b,4.213576,2.176348,8.9999,1.1131,91.54%,,,,,,0x2b,4.203688,2.167405,14.99987,0.666233,91.17%
,0x2c,4.202718,2.250256,6.7999,1.4901,93.34%,,,,,,,0x2c,4.203601,2.254015,8.9999,1.1356,92.71%,,,,,,0x2c,4.204449,2.252543,14.9999,0.6986,90.38%
,0x2d,4.204191,2.303115,6.7999,1.5264,93.29%,,,,,,,0x2d,4.196279,2.280321,8.9999,1.131533,93.96%,,,,,,0x2d,4.20058,2.304066,14.9999,0.714633,90.29%
,0x2e,4.202221,2.263443,6.7999,1.496133,93.49%,,,,,,,0x2e,4.204791,2.357567,8.9999,1.189533,92.60%,,,,,,0x2e,4.203322,2.357437,14.9999,0.7312,90.35%
,0x2f,4.202535,2.404402,6.7999,1.594667,93.19%,,,,,,,0x2f,4.201324,2.345821,8.9999,1.180533,92.76%,,,,,,0x2f,4.201739,2.409417,14.9999,0.747733,90.26%
,0x30,4.202896,2.395677,6.7999,1.584933,93.43%,,,,,,,0x30,4.201946,2.460803,8.9999,1.242167,92.49%,,,,,,0x30,4.200856,2.408712,14.9999,0.744133,90.65%
,0x31,4.201686,2.507441,6.7999,1.6657,93.02%,,,,,,,0x31,4.200352,2.513319,8.9999,1.262167,92.94%,,,,,,0x31,4.202495,2.512667,14.9999,0.780167,90.23%
,0x32,4.20202,2.535141,6.7999,1.688367,92.79%,,,,,,,0x32,4.204494,2.537656,8.9999,1.297133,91.40%,,,,,,0x32,4.198417,2.500267,14.9999,0.771833,90.67%
